geneId,cid
2,CID000119035
2,CID000601100
2,CID000012592
2,CID000010431
2,CID005281545
2,CID000031294
2,CID000021474
2,CID106440962
2,CID005408870
2,CID000001070
2,CID005316673
2,CID005281752
2,CID000160463
2,CID000012648
2,CID001549041
2,CID000007291
2,CID011742872
2,CID010441164
2,CID016201525
2,CID044577222
2,CID144577222
2,CID000006891
2,CID000636732
2,CID054676084
2,CID154676084
2,CID000004826
2,CID000114831
2,CID011969548
2,CID005281318
2,CID006253276
2,CID005281230
2,CID005281513
2,CID000072309
2,CID000637568
2,CID000230915
2,CID100455658
2,CID044575219
2,CID000455658
2,CID144191126
2,CID044191126
2,CID000165003
2,CID000006210
2,CID000020161
2,CID000012406
2,CID000014259
2,CID005313988
2,CID005284433
2,CID000017818
2,CID100017818
2,CID005459322
2,CID011972310
2,CID111972310
2,CID011953940
2,CID000197084
2,CID000164575
2,CID100164575
2,CID000068249
2,CID100005281
2,CID005281645
2,CID024839934
2,CID105280459
2,CID000442822
2,CID005280450
2,CID100000125
2,CID000000125
2,CID000244386
2,CID015559724
2,CID000006585
2,CID024832062
2,CID000178661
2,CID006441391
2,CID000442702
2,CID025240174
2,CID000656566
2,CID006436600
2,CID000064981
2,CID100064981
2,CID005318690
2,CID000007714
2,CID000016822
2,CID000003885
2,CID000003213
2,CID100003213
2,CID009846221
2,CID100288227
2,CID000006758
2,CID014035442
2,CID000005210
2,CID000032465
2,CID000032484
2,CID000153990
2,CID000100205
2,CID000026359
2,CID000012367
2,CID000008124
2,CID000007461
2,CID000072314
2,CID100519323
2,CID000519323
2,CID000012408
2,CID100107770
2,CID100003661
2,CID000003661
2,CID000005099
2,CID010355644
2,CID044563121
2,CID015741979
2,CID115741979
2,CID024832108
2,CID100132083
2,CID000132083
2,CID000013192
2,CID011968680
2,CID105283589
2,CID005281706
2,CID005280379
2,CID000016449
2,CID000099486
2,CID000008130
2,CID100115185
2,CID000115185
2,CID005281236
2,CID000442473
2,CID000000857
2,CID000014526
2,CID000065575
2,CID005282160
2,CID000014350
2,CID100014350
2,CID000002563
2,CID100002563
2,CID000159343
2,CID100019725
2,CID000019725
2,CID100197775
2,CID000003220
2,CID100003220
2,CID011081540
2,CID100165558
2,CID000165549
2,CID000168928
2,CID000010145
2,CID000160497
2,CID000012107
2,CID104056967
2,CID000008182
2,CID000441764
2,CID100006466
2,CID000006466
2,CID000688026
2,CID046173827
2,CID000441736
2,CID000008142
2,CID000234569
2,CID100441764
2,CID100097214
2,CID000441726
2,CID000170160
2,CID000097214
2,CID000003632
2,CID000245006
2,CID000017968
2,CID000018827
2,CID100018827
2,CID000006075
2,CID005281520
2,CID000011174
2,CID005282110
2,CID005281228
2,CID000017101
2,CID000010820
2,CID000007910
2,CID000643833
2,CID000010413
2,CID100101341
2,CID000012392
2,CID100519743
2,CID000091460
2,CID000084310
2,CID000009144
2,CID100009144
2,CID000439520
2,CID000006365
2,CID000010547
2,CID000012399
2,CID005283589
2,CID006438575
2,CID000000825
2,CID000111253
2,CID006451100
2,CID000080309
2,CID000160576
2,CID000001832
2,CID045485203
2,CID145485203
2,CID145485202
2,CID045485202
2,CID000157149
2,CID005809667
2,CID100442531
2,CID000010774
2,CID000010607
2,CID000030223
2,CID006440895
2,CID000016573
2,CID100016573
2,CID000192440
2,CID000559387
2,CID100122851
2,CID000012397
2,CID000006912
2,CID000161352
2,CID100161352
2,CID000014533
2,CID000019838
2,CID000699486
2,CID000717599
2,CID011000531
2,CID000114842
2,CID000010570
2,CID000121924
2,CID000068149
2,CID005280388
