geneId,cid
95,CID000005790
95,CID000008859
95,CID000104728
95,CID000004684
95,CID005461146
95,CID000000612
95,CID000000403
95,CID014136881
97,CID100000314
97,CID000023995
97,CID000024140
97,CID000005842
97,CID000005235
97,CID005464098
97,CID000000312
97,CID005281223
97,CID100003505
97,CID000003505
97,CID000010749
97,CID000005794
97,CID000439264
99,CID005280338
99,CID000005958
99,CID000011198
99,CID000000987
100,CID000009661
100,CID000000189
100,CID000000310
100,CID000005984
100,CID100000177
100,CID000000177
100,CID100000314
100,CID000174251
100,CID000024140
100,CID000009297
100,CID000017473
100,CID000000266
100,CID100006138
100,CID000442119
100,CID000442089
100,CID000001143
100,CID000002354
100,CID000004285
100,CID000002707
100,CID000007810
100,CID000007931
100,CID000000178
100,CID000002880
100,CID000007238
100,CID000000345
100,CID000442694
100,CID000019011
100,CID000089602
100,CID000002336
100,CID100002336
100,CID000439264
100,CID000000683
100,CID000014950
100,CID000005203
100,CID000000612
100,CID000068262
100,CID100068262
100,CID000005991
100,CID100003026
100,CID000003026
100,CID000000273
100,CID000023995
100,CID000005235
100,CID000000124
100,CID000009309
100,CID000001050
100,CID000000703
100,CID000005754
100,CID000442895
100,CID000005794
100,CID015819326
100,CID000195652
100,CID100195652
100,CID000005817
100,CID000008083
100,CID100000931
100,CID000010256
100,CID000005758
100,CID000080923
100,CID105281673
100,CID005281673
100,CID000006323
100,CID005280344
100,CID000000713
100,CID000446221
100,CID000060963
100,CID005281051
100,CID000010236
100,CID000005958
100,CID000005155
100,CID000000404
100,CID000005810
100,CID000072385
100,CID000000751
100,CID005288834
100,CID100000305
100,CID001795542
100,CID000010238
100,CID000023979
100,CID000005998
100,CID100092782
100,CID000000776
100,CID000008859
100,CID000011307
100,CID100000761
100,CID000441073
100,CID000024262
100,CID002724362
100,CID000007056
100,CID000002746
100,CID100197019
100,CID001548952
100,CID100101729
100,CID000006169
100,CID000001147
100,CID000006077
100,CID100163158
100,CID005462447
100,CID010356603
100,CID006326972
100,CID000000997
100,CID100001210
100,CID000040540
100,CID000104728
100,CID000004684
100,CID100011092
100,CID000011092
101,CID006326972
101,CID000000175
101,CID000002520
102,CID000000312
102,CID000005958
102,CID000000890
102,CID000000987
102,CID100000314
102,CID100000177
102,CID000023995
102,CID000000285
102,CID000005794
102,CID000000527
102,CID005280436
102,CID100000346
102,CID000001110
102,CID005281810
102,CID000000177
102,CID001795542
102,CID000005998
102,CID100000305
102,CID000000346
102,CID000000703
102,CID000003830
102,CID000124704
102,CID000000189
102,CID000000086
102,CID000001111
102,CID000065065
102,CID000000262
102,CID005280965
102,CID000000001
102,CID000445642
102,CID100007237
102,CID000007237
102,CID000000190
102,CID100000190
102,CID000444215
102,CID000444973
102,CID000005991
102,CID000000760
102,CID000010213
102,CID001268144
102,CID000095783
102,CID000064970
102,CID000000612
102,CID000011032
102,CID000104728
102,CID105281708
102,CID005281708
102,CID005280451
102,CID000445155
103,CID000023995
