herbid,diseaseId
HERB000034,HBDIS005442
HERB000034,HBDIS005525
HERB000034,HBDIS005528
HERB000034,HBDIS005544
HERB000034,HBDIS005756
HERB000034,HBDIS006436
HERB000034,HBDIS006961
HERB000034,HBDIS006962
HERB000034,HBDIS006999
HERB000034,HBDIS007058
HERB000034,HBDIS007075
HERB000034,HBDIS007115
HERB000034,HBDIS007136
HERB000034,HBDIS007151
HERB000034,HBDIS007182
HERB000034,HBDIS007188
HERB000034,HBDIS007189
HERB000034,HBDIS007438
HERB000034,HBDIS007447
HERB000034,HBDIS007473
HERB000034,HBDIS007476
HERB000034,HBDIS007485
HERB000034,HBDIS007491
HERB000034,HBDIS007494
HERB000034,HBDIS007553
HERB000034,HBDIS007571
HERB000034,HBDIS007578
HERB000034,HBDIS007600
HERB000034,HBDIS007623
HERB000034,HBDIS007885
HERB000034,HBDIS007898
HERB000034,HBDIS008314
HERB000034,HBDIS008330
HERB000034,HBDIS008354
HERB000034,HBDIS008367
HERB000034,HBDIS008416
HERB000034,HBDIS008487
HERB000034,HBDIS008490
HERB000034,HBDIS008493
HERB000034,HBDIS008508
HERB000034,HBDIS008571
HERB000034,HBDIS008946
HERB000034,HBDIS008950
HERB000034,HBDIS009743
HERB000034,HBDIS009744
HERB000034,HBDIS009758
HERB000034,HBDIS010091
HERB000034,HBDIS010215
HERB000034,HBDIS010448
HERB000034,HBDIS010497
HERB000034,HBDIS010510
HERB000034,HBDIS010619
HERB000034,HBDIS010854
HERB000034,HBDIS011058
HERB000034,HBDIS011075
HERB000034,HBDIS011276
HERB000034,HBDIS011383
HERB000034,HBDIS011418
HERB000034,HBDIS011501
HERB000034,HBDIS011503
HERB000034,HBDIS011504
HERB000034,HBDIS011845
HERB000034,HBDIS011865
HERB000034,HBDIS012200
HERB000034,HBDIS012201
HERB000034,HBDIS012215
HERB000034,HBDIS012258
HERB000034,HBDIS012322
HERB000034,HBDIS012337
HERB000034,HBDIS012459
HERB000034,HBDIS012591
HERB000034,HBDIS012702
HERB000034,HBDIS012862
HERB000034,HBDIS012891
HERB000034,HBDIS012942
HERB000034,HBDIS013006
HERB000034,HBDIS013092
HERB000034,HBDIS013098
HERB000034,HBDIS013294
HERB000034,HBDIS013376
HERB000034,HBDIS013378
HERB000034,HBDIS013413
HERB000034,HBDIS013464
HERB000034,HBDIS013578
HERB000034,HBDIS013593
HERB000034,HBDIS013617
HERB000034,HBDIS013630
HERB000034,HBDIS013644
HERB000034,HBDIS013667
HERB000034,HBDIS013683
HERB000034,HBDIS013744
HERB000034,HBDIS013751
HERB000034,HBDIS013789
HERB000034,HBDIS013825
HERB000034,HBDIS013831
HERB000034,HBDIS013869
HERB000034,HBDIS013888
HERB000034,HBDIS013889
HERB000034,HBDIS013907
HERB000034,HBDIS013952
HERB000034,HBDIS013966
HERB000034,HBDIS014053
HERB000034,HBDIS014065
HERB000034,HBDIS014237
HERB000034,HBDIS014289
HERB000034,HBDIS014349
HERB000034,HBDIS014359
HERB000034,HBDIS014391
HERB000034,HBDIS014400
HERB000034,HBDIS014430
HERB000034,HBDIS014764
HERB000034,HBDIS014790
HERB000034,HBDIS014814
HERB000034,HBDIS014835
HERB000034,HBDIS014849
HERB000034,HBDIS015284
HERB000034,HBDIS015285
HERB000034,HBDIS015686
HERB000034,HBDIS016097
HERB000034,HBDIS016819
HERB000034,HBDIS017835
HERB000034,HBDIS018057
HERB000034,HBDIS018349
HERB000034,HBDIS018627
HERB000034,HBDIS018879
HERB000034,HBDIS019424
HERB000034,HBDIS019728
HERB000034,HBDIS020141
HERB000034,HBDIS020954
HERB000034,HBDIS020994
HERB000034,HBDIS021400
HERB000034,HBDIS021435
HERB000034,HBDIS022035
HERB000034,HBDIS022162
HERB000034,HBDIS022566
HERB000034,HBDIS025865
HERB000034,HBDIS025996
HERB000034,HBDIS025997
HERB000034,HBDIS026038
HERB000034,HBDIS026077
HERB000034,HBDIS026408
HERB000034,HBDIS026507
HERB000034,HBDIS026791
HERB000034,HBDIS026823
HERB000034,HBDIS026924
HERB000034,HBDIS026943
HERB000034,HBDIS027228
HERB000034,HBDIS027284
HERB000034,HBDIS027285
HERB000034,HBDIS027413
HERB000034,HBDIS027755
HERB000034,HBDIS027757
HERB000034,HBDIS027774
HERB000034,HBDIS027817
HERB000034,HBDIS027904
HERB000034,HBDIS002044
HERB000034,HBDIS026071
HERB000034,HBDIS011321
HERB000034,HBDIS011976
