protein_id,compound_id
HBTAR000092,HBIN032674
HBTAR000092,HBIN038387
HBTAR000092,HBIN000982
HBTAR000092,HBIN023188
HBTAR000092,HBIN049200
HBTAR000092,HBIN026262
HBTAR000092,HBIN020801
HBTAR000092,HBIN020903
HBTAR000092,HBIN038035
HBTAR000092,HBIN037286
HBTAR000092,HBIN043778
HBTAR000092,HBIN038026
HBTAR000092,HBIN005531
HBTAR000092,HBIN001538
HBTAR000092,HBIN008348
HBTAR000092,HBIN015834
HBTAR000092,HBIN015853
HBTAR000092,HBIN016398
HBTAR000092,HBIN019571
HBTAR000092,HBIN020107
HBTAR000092,HBIN021757
HBTAR000092,HBIN022519
HBTAR000092,HBIN022831
HBTAR000092,HBIN027382
HBTAR000092,HBIN027924
HBTAR000092,HBIN028518
HBTAR000092,HBIN034776
HBTAR000092,HBIN035055
HBTAR000092,HBIN037061
HBTAR000092,HBIN037138
HBTAR000092,HBIN037146
HBTAR000092,HBIN039018
HBTAR000092,HBIN040827
HBTAR000092,HBIN041950
HBTAR000092,HBIN042390
HBTAR000092,HBIN044729
HBTAR000092,HBIN044795
HBTAR000092,HBIN044799
HBTAR000092,HBIN045576
HBTAR000092,HBIN049199
HBTAR000092,HBIN026550
HBTAR000092,HBIN000035
HBTAR000092,HBIN000119
HBTAR000092,HBIN000312
HBTAR000092,HBIN000320
HBTAR000092,HBIN000407
HBTAR000092,HBIN000412
HBTAR000092,HBIN000674
HBTAR000092,HBIN000678
HBTAR000092,HBIN000792
HBTAR000092,HBIN000825
HBTAR000092,HBIN000893
HBTAR000092,HBIN000900
HBTAR000092,HBIN001212
HBTAR000092,HBIN001327
HBTAR000092,HBIN001436
HBTAR000092,HBIN001778
HBTAR000092,HBIN001894
HBTAR000092,HBIN002023
HBTAR000092,HBIN002026
HBTAR000092,HBIN002028
HBTAR000092,HBIN002037
HBTAR000092,HBIN002428
HBTAR000092,HBIN002509
HBTAR000092,HBIN002684
HBTAR000092,HBIN002714
HBTAR000092,HBIN002716
HBTAR000092,HBIN002747
HBTAR000092,HBIN003162
HBTAR000092,HBIN003275
HBTAR000092,HBIN003335
HBTAR000092,HBIN003736
HBTAR000092,HBIN003863
HBTAR000092,HBIN003897
HBTAR000092,HBIN004185
HBTAR000092,HBIN004253
HBTAR000092,HBIN004267
HBTAR000092,HBIN004302
HBTAR000092,HBIN004339
HBTAR000092,HBIN004430
HBTAR000092,HBIN004613
HBTAR000092,HBIN004643
HBTAR000092,HBIN004878
HBTAR000092,HBIN004899
HBTAR000092,HBIN004958
HBTAR000092,HBIN005113
HBTAR000092,HBIN005325
HBTAR000092,HBIN005351
HBTAR000092,HBIN005353
HBTAR000092,HBIN005428
HBTAR000092,HBIN005801
HBTAR000092,HBIN005822
HBTAR000092,HBIN005879
HBTAR000092,HBIN005902
HBTAR000092,HBIN005904
HBTAR000092,HBIN005905
HBTAR000092,HBIN005911
HBTAR000092,HBIN005922
HBTAR000092,HBIN005948
HBTAR000092,HBIN006077
HBTAR000092,HBIN006309
HBTAR000092,HBIN006376
HBTAR000092,HBIN006395
HBTAR000092,HBIN006526
HBTAR000092,HBIN006620
HBTAR000092,HBIN006704
HBTAR000092,HBIN006891
HBTAR000092,HBIN007054
HBTAR000092,HBIN007182
HBTAR000092,HBIN007202
HBTAR000092,HBIN007305
HBTAR000092,HBIN007465
HBTAR000092,HBIN007666
HBTAR000092,HBIN007703
